latitude,longitude,user_id,log_time
25.226585,55.343433,8,2021-04-17 09:12:31
25.22683,55.342834,8,2021-04-17 09:12:59
25.226925,55.342876,8,2021-04-17 09:13:43
25.226921,55.342911,8,2021-04-17 09:14:15
25.224722,55.338371,8,2021-04-17 09:14:46
25.224722,55.338371,8,2021-04-17 09:15:00
25.226896,55.343571,8,2021-04-17 09:15:17
25.226896,55.343571,8,2021-04-17 09:15:47
25.226896,55.343571,8,2021-04-17 09:16:01
25.224722,55.338371,8,2021-04-17 09:16:19
25.224722,55.338371,8,2021-04-17 09:16:32
25.226944,55.343609,8,2021-04-17 09:16:51
25.227034,55.343548,8,2021-04-17 09:17:06
25.22691,55.343716,8,2021-04-17 09:17:38
25.226936,55.343605,8,2021-04-17 09:18:23
25.226965,55.343559,8,2021-04-17 09:18:38
25.226955,55.343575,8,2021-04-17 09:18:55
25.226919,55.34362,8,2021-04-17 09:19:10
25.226921,55.343616,8,2021-04-17 09:19:31
25.226933,55.343605,8,2021-04-17 09:19:52
25.227005,55.343533,8,2021-04-17 09:20:23
25.227005,55.343533,8,2021-04-17 09:20:54
25.224722,55.338371,8,2021-04-17 09:21:08
25.224722,55.338371,8,2021-04-17 09:21:25
25.224722,55.338371,8,2021-04-17 09:21:39
25.226906,55.343433,8,2021-04-17 09:21:56
25.226906,55.343433,8,2021-04-17 09:22:27
25.224722,55.338371,8,2021-04-17 09:22:40
25.226894,55.343563,8,2021-04-17 09:22:58
25.22691,55.342941,8,2021-04-17 09:23:29
25.226799,55.341816,8,2021-04-17 09:24:00
25.226368,55.34119,8,2021-04-17 09:24:22
25.225876,55.340618,8,2021-04-17 09:24:38
25.225103,55.339584,8,2021-04-17 09:24:54
25.224213,55.338734,8,2021-04-17 09:25:09
25.225262,55.3368,8,2021-04-17 09:25:25
25.224997,55.333736,8,2021-04-17 09:25:57
25.226139,55.332886,8,2021-04-17 09:26:15
25.226002,55.332325,8,2021-04-17 09:26:35
25.225546,55.332325,8,2021-04-17 09:26:57
25.224888,55.333557,8,2021-04-17 09:27:18
25.224012,55.332977,8,2021-04-17 09:27:37
25.222828,55.331161,8,2021-04-17 09:28:05
25.220884,55.328423,8,2021-04-17 09:28:37
25.219748,55.325588,8,2021-04-17 09:28:55
25.219814,55.322266,8,2021-04-17 09:29:22
25.219803,55.322269,8,2021-04-17 09:29:39
25.219793,55.322334,8,2021-04-17 09:30:03
25.219793,55.322334,8,2021-04-17 09:30:22
25.220215,55.319202,8,2021-04-17 09:30:41
25.2213,55.315392,8,2021-04-17 09:31:04
25.224033,55.315727,8,2021-04-17 09:31:21
25.228788,55.315487,8,2021-04-17 09:31:46
25.228788,55.315487,8,2021-04-17 09:32:13
25.233994,55.317425,8,2021-04-17 09:32:32
25.235489,55.31786,8,2021-04-17 09:32:49
25.23391,55.317406,8,2021-04-17 09:33:04
25.237108,55.317326,8,2021-04-17 09:33:36
25.237932,55.316959,8,2021-04-17 09:34:04
25.242775,55.315994,8,2021-04-17 09:34:30
25.244846,55.315521,8,2021-04-17 09:35:15
25.244846,55.315521,8,2021-04-17 09:35:33
25.24334,55.315872,8,2021-04-17 09:35:52
25.243416,55.315647,8,2021-04-17 09:36:09
25.243408,55.31588,8,2021-04-17 09:36:40
25.243477,55.315769,8,2021-04-17 09:36:56
25.243559,55.315693,8,2021-04-17 09:37:12
25.243557,55.315674,8,2021-04-17 09:37:45
25.243563,55.315666,8,2021-04-17 09:38:16
25.243649,55.315586,8,2021-04-17 09:38:51
25.243759,55.315491,8,2021-04-17 09:38:55
25.243711,55.315502,8,2021-04-17 09:39:41
25.241959,55.316219,8,2021-04-17 09:41:25
25.241636,55.316208,8,2021-04-17 09:41:52
25.241547,55.316166,8,2021-04-17 09:42:10
25.241421,55.316017,8,2021-04-17 09:42:36
25.241396,55.316105,8,2021-04-17 09:42:55
25.241455,55.316055,8,2021-04-17 09:43:16
25.241446,55.316063,8,2021-04-17 09:43:36
25.241446,55.316044,8,2021-04-17 09:43:56
25.241467,55.316044,8,2021-04-17 09:44:16
25.241426,55.316051,8,2021-04-17 09:44:37
25.241678,55.316071,8,2021-04-17 09:45:04
25.241501,55.316021,8,2021-04-17 09:45:25
25.241455,55.316025,8,2021-04-17 09:45:40
25.24173,55.316277,8,2021-04-17 09:46:04
25.241385,55.316109,8,2021-04-17 09:46:28
25.241468,55.316029,8,2021-04-17 09:46:43
25.241484,55.316032,8,2021-04-17 09:47:12
25.241541,55.316025,8,2021-04-17 09:47:30
25.241371,55.31599,8,2021-04-17 09:48:00
25.241543,55.316086,8,2021-04-17 09:48:19
25.241537,55.316113,8,2021-04-17 09:48:38
25.241468,55.315941,8,2021-04-17 09:49:04
25.24157,55.316086,8,2021-04-17 09:49:24
25.241455,55.316048,8,2021-04-17 09:49:39
25.241558,55.31588,8,2021-04-17 09:50:04
25.241724,55.316189,8,2021-04-17 09:50:28
25.241575,55.316074,8,2021-04-17 09:50:46
25.241455,55.316036,8,2021-04-17 09:51:15
25.2416,55.316181,8,2021-04-17 09:51:33
25.24144,55.316063,8,2021-04-17 09:52:08
25.241432,55.316044,8,2021-04-17 09:52:38
25.241703,55.316177,8,2021-04-17 09:53:04
25.24173,55.316174,8,2021-04-17 09:53:38
25.241686,55.316113,8,2021-04-17 09:53:55
25.241459,55.316082,8,2021-04-17 09:54:11
